Model,Variant,Embedding,Vocab,K,Repeat,Experiment,Source_File,Timing_Run_Name,NPMI,Diversity,Valid_Topics,Dropped_Topics
BERTopic,Base fullK,Heavy,,10,Run2,BERTopic | Base fullK | Heavy | K10 | Run2,bertopic_topics_HEAVY_EMBfinal2_fullK10.json,HEAVY_EMBfinal2_K10,0.15901808478920545,0.9444444444444444,9,1
BERTopic,Base fullK,Light,,20,Run2,BERTopic | Base fullK | Light | K20 | Run2,bertopic_topics_LIGHT_EMBfinal2_fullK20.json,LIGHT_EMBfinal2_K20,0.12478582305406317,0.9315789473684211,19,0
BERTopic,Base fullK,Heavy,,20,Run2,BERTopic | Base fullK | Heavy | K20 | Run2,bertopic_topics_HEAVY_EMBfinal2_fullK20.json,HEAVY_EMBfinal2_K20,0.16219568121676595,0.9473684210526315,19,1
BERTopic,Base fullK,Light,,30,Run2,BERTopic | Base fullK | Light | K30 | Run2,bertopic_topics_LIGHT_EMBfinal2_fullK30.json,LIGHT_EMBfinal2_K30,0.14918529476208384,0.8448275862068966,29,0
BERTopic,Base fullK,Heavy,,30,Run2,BERTopic | Base fullK | Heavy | K30 | Run2,bertopic_topics_HEAVY_EMBfinal2_fullK30.json,HEAVY_EMBfinal2_K30,0.1550342095387677,0.8724137931034482,29,1
BERTopic,Base fullK,Light,,40,Run2,BERTopic | Base fullK | Light | K40 | Run2,bertopic_topics_LIGHT_EMBfinal2_fullK40.json,LIGHT_EMBfinal2_K40,0.13681123110663554,0.8447368421052631,38,1
BERTopic,Base fullK,Heavy,,40,Run2,BERTopic | Base fullK | Heavy | K40 | Run2,bertopic_topics_HEAVY_EMBfinal2_fullK40.json,HEAVY_EMBfinal2_K40,0.18788451053369332,0.8621621621621621,37,2
BERTopic,Base fullK,Light,,50,Run2,BERTopic | Base fullK | Light | K50 | Run2,bertopic_topics_LIGHT_EMBfinal2_fullK50.json,LIGHT_EMBfinal2_K50,0.1369067848936439,0.8224489795918367,49,0
BERTopic,Base fullK,Heavy,,50,Run2,BERTopic | Base fullK | Heavy | K50 | Run2,bertopic_topics_HEAVY_EMBfinal2_fullK50.json,HEAVY_EMBfinal2_K50,0.1143988815553763,0.8729166666666667,48,1
BERTopic,Base fullK,Light,,60,Run2,BERTopic | Base fullK | Light | K60 | Run2,bertopic_topics_LIGHT_EMBfinal2_fullK60.json,LIGHT_EMBfinal2_K60,0.13985098357850068,0.8051724137931034,58,1
BERTopic,Base fullK,Heavy,,60,Run2,BERTopic | Base fullK | Heavy | K60 | Run2,bertopic_topics_HEAVY_EMBfinal2_fullK60.json,HEAVY_EMBfinal2_K60,0.1688973807443027,0.8413793103448276,58,1
BERTopic,Base fullK,Light,,10,Run3,BERTopic | Base fullK | Light | K10 | Run3,bertopic_topics_LIGHT_EMBfinal3_fullK10.json,LIGHT_EMBfinal3_K10,0.16761841258549512,0.9777777777777777,9,0
BERTopic,Base fullK,Heavy,,10,Run3,BERTopic | Base fullK | Heavy | K10 | Run3,bertopic_topics_HEAVY_EMBfinal3_fullK10.json,HEAVY_EMBfinal3_K10,0.18375898914361186,0.9777777777777777,9,1
BERTopic,Base fullK,Light,,20,Run3,BERTopic | Base fullK | Light | K20 | Run3,bertopic_topics_LIGHT_EMBfinal3_fullK20.json,LIGHT_EMBfinal3_K20,0.12612603729640545,0.925,20,0
BERTopic,Base fullK,Heavy,,20,Run3,BERTopic | Base fullK | Heavy | K20 | Run3,bertopic_topics_HEAVY_EMBfinal3_fullK20.json,HEAVY_EMBfinal3_K20,0.1599988413335651,0.9210526315789473,19,1
BERTopic,Base fullK,Light,,30,Run3,BERTopic | Base fullK | Light | K30 | Run3,bertopic_topics_LIGHT_EMBfinal3_fullK30.json,LIGHT_EMBfinal3_K30,0.1287864364323267,0.8533333333333334,30,0
BERTopic,Base fullK,Heavy,,30,Run3,BERTopic | Base fullK | Heavy | K30 | Run3,bertopic_topics_HEAVY_EMBfinal3_fullK30.json,HEAVY_EMBfinal3_K30,0.19251687801604275,0.8928571428571429,28,1
BERTopic,Base fullK,Light,,40,Run3,BERTopic | Base fullK | Light | K40 | Run3,bertopic_topics_LIGHT_EMBfinal3_fullK40.json,LIGHT_EMBfinal3_K40,0.13159711350431622,0.8641025641025641,39,0
