Model,Variant,Embedding,Vocab,K,Repeat,Experiment,Source_File,Timing_Run_Name,NPMI,Diversity,Valid_Topics,Dropped_Topics,Runtime_Seconds,Runtime_Minutes,Runtime_Log_Entries,Timing_Run_Names
BERTopic,NoiseParams fullK,Light,,50,Run1,BERTopic | NoiseParams fullK | Light | K50 | Run1,bertopic_topics_LIGHT_EMBfinal_noiseparams_fullK50.json,LIGHT_EMBfinal_noiseparams_K50,0.1250881286114856,0.8395833333333333,48,0,189.36,3.16,1,LIGHT_EMBfinal_noiseparams_fullK50
BERTopic,NoiseParams fullK,Heavy,,50,Run1,BERTopic | NoiseParams fullK | Heavy | K50 | Run1,bertopic_topics_HEAVY_EMBfinal_noiseparams_fullK50.json,HEAVY_EMBfinal_noiseparams_K50,0.0622578490601098,0.8282608695652174,46,1,153.45,2.56,1,HEAVY_EMBfinal_noiseparams_fullK50
BERTopic,NoiseParams fullK,Light,,60,Run1,BERTopic | NoiseParams fullK | Light | K60 | Run1,bertopic_topics_LIGHT_EMBfinal_noiseparams_fullK60.json,LIGHT_EMBfinal_noiseparams_K60,0.1143535893729059,0.8425925925925926,54,1,188.29,3.14,1,LIGHT_EMBfinal_noiseparams_fullK60
BERTopic,NoiseParams fullK,Heavy,,60,Run1,BERTopic | NoiseParams fullK | Heavy | K60 | Run1,bertopic_topics_HEAVY_EMBfinal_noiseparams_fullK60.json,HEAVY_EMBfinal_noiseparams_K60,0.0838713776600324,0.8574074074074074,54,2,175.59,2.93,1,HEAVY_EMBfinal_noiseparams_fullK60
BERTopic,NoiseParams fullK,Light,,10,Run2,BERTopic | NoiseParams fullK | Light | K10 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK10.json,LIGHT_EMBfinal2_noiseparams_K10,0.0685581621047564,0.93,10,0,299.77,5.0,1,LIGHT_EMBfinal2_noiseparams_fullK10
BERTopic,NoiseParams fullK,Heavy,,10,Run2,BERTopic | NoiseParams fullK | Heavy | K10 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK10.json,HEAVY_EMBfinal2_noiseparams_K10,0.0897496005979757,0.9,10,0,231.89,3.86,1,HEAVY_EMBfinal2_noiseparams_fullK10
BERTopic,NoiseParams fullK,Light,,20,Run2,BERTopic | NoiseParams fullK | Light | K20 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK20.json,LIGHT_EMBfinal2_noiseparams_K20,0.1405163746233226,0.89,20,0,241.85,4.03,1,LIGHT_EMBfinal2_noiseparams_fullK20
BERTopic,NoiseParams fullK,Heavy,,20,Run2,BERTopic | NoiseParams fullK | Heavy | K20 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK20.json,HEAVY_EMBfinal2_noiseparams_K20,0.109131028601012,0.8894736842105263,19,0,163.62,2.73,1,HEAVY_EMBfinal2_noiseparams_fullK20
BERTopic,NoiseParams fullK,Light,,30,Run2,BERTopic | NoiseParams fullK | Light | K30 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK30.json,LIGHT_EMBfinal2_noiseparams_K30,0.1391858775188106,0.8692307692307693,26,0,206.3,3.44,1,LIGHT_EMBfinal2_noiseparams_fullK30
BERTopic,NoiseParams fullK,Heavy,,30,Run2,BERTopic | NoiseParams fullK | Heavy | K30 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK30.json,HEAVY_EMBfinal2_noiseparams_K30,0.1153689046119593,0.8827586206896552,29,1,170.1,2.83,1,HEAVY_EMBfinal2_noiseparams_fullK30
BERTopic,NoiseParams fullK,Light,,40,Run2,BERTopic | NoiseParams fullK | Light | K40 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK40.json,LIGHT_EMBfinal2_noiseparams_K40,0.1292103053870407,0.8648648648648649,37,2,286.46,4.77,1,LIGHT_EMBfinal2_noiseparams_fullK40
BERTopic,NoiseParams fullK,Heavy,,40,Run2,BERTopic | NoiseParams fullK | Heavy | K40 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK40.json,HEAVY_EMBfinal2_noiseparams_K40,0.1132288862854072,0.8894736842105263,38,1,188.67,3.14,1,HEAVY_EMBfinal2_noiseparams_fullK40
BERTopic,NoiseParams fullK,Light,,50,Run2,BERTopic | NoiseParams fullK | Light | K50 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK50.json,LIGHT_EMBfinal2_noiseparams_K50,0.1497011802044299,0.851063829787234,47,1,212.31,3.54,1,LIGHT_EMBfinal2_noiseparams_fullK50
BERTopic,NoiseParams fullK,Heavy,,50,Run2,BERTopic | NoiseParams fullK | Heavy | K50 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK50.json,HEAVY_EMBfinal2_noiseparams_K50,0.0685755553405841,0.8659574468085106,47,2,167.64,2.79,1,HEAVY_EMBfinal2_noiseparams_fullK50
BERTopic,NoiseParams fullK,Light,,60,Run2,BERTopic | NoiseParams fullK | Light | K60 | Run2,bertopic_topics_LIGHT_EMBfinal2_noiseparams_fullK60.json,LIGHT_EMBfinal2_noiseparams_K60,0.138048325522926,0.7879310344827586,58,1,203.47,3.39,1,LIGHT_EMBfinal2_noiseparams_fullK60
BERTopic,NoiseParams fullK,Heavy,,60,Run2,BERTopic | NoiseParams fullK | Heavy | K60 | Run2,bertopic_topics_HEAVY_EMBfinal2_noiseparams_fullK60.json,HEAVY_EMBfinal2_noiseparams_K60,0.1027235551441253,0.8553571428571428,56,2,205.12,3.42,1,HEAVY_EMBfinal2_noiseparams_fullK60
BERTopic,NoiseParams fullK,Light,,10,Run3,BERTopic | NoiseParams fullK | Light | K10 | Run3,bertopic_topics_LIGHT_EMBfinal3_noiseparams_fullK10.json,LIGHT_EMBfinal3_noiseparams_K10,0.152327991848077,0.9555555555555556,9,1,185.8,3.1,1,LIGHT_EMBfinal3_noiseparams_fullK10
BERTopic,NoiseParams fullK,Heavy,,10,Run3,BERTopic | NoiseParams fullK | Heavy | K10 | Run3,bertopic_topics_HEAVY_EMBfinal3_noiseparams_fullK10.json,HEAVY_EMBfinal3_noiseparams_K10,0.1682286877424679,0.9333333333333332,9,0,154.25,2.57,1,HEAVY_EMBfinal3_noiseparams_fullK10
BERTopic,NoiseParams fullK,Light,,20,Run3,BERTopic | NoiseParams fullK | Light | K20 | Run3,bertopic_topics_LIGHT_EMBfinal3_noiseparams_fullK20.json,LIGHT_EMBfinal3_noiseparams_K20,0.0986378216250404,0.885,20,0,183.84,3.06,1,LIGHT_EMBfinal3_noiseparams_fullK20
BERTopic,NoiseParams fullK,Heavy,,20,Run3,BERTopic | NoiseParams fullK | Heavy | K20 | Run3,bertopic_topics_HEAVY_EMBfinal3_noiseparams_fullK20.json,HEAVY_EMBfinal3_noiseparams_K20,0.1151409723357494,0.8888888888888888,18,0,152.93,2.55,1,HEAVY_EMBfinal3_noiseparams_fullK20
BERTopic,NoiseParams fullK,Light,,30,Run3,BERTopic | NoiseParams fullK | Light | K30 | Run3,bertopic_topics_LIGHT_EMBfinal3_noiseparams_fullK30.json,LIGHT_EMBfinal3_noiseparams_K30,0.1115033530117515,0.8555555555555555,27,0,192.34,3.21,1,LIGHT_EMBfinal3_noiseparams_fullK30
BERTopic,NoiseParams fullK,Heavy,,30,Run3,BERTopic | NoiseParams fullK | Heavy | K30 | Run3,bertopic_topics_HEAVY_EMBfinal3_noiseparams_fullK30.json,HEAVY_EMBfinal3_noiseparams_K30,0.1236841162004261,0.85,28,0,158.07,2.63,1,HEAVY_EMBfinal3_noiseparams_fullK30
BERTopic,NoiseParams fullK,Light,,40,Run3,BERTopic | NoiseParams fullK | Light | K40 | Run3,bertopic_topics_LIGHT_EMBfinal3_noiseparams_fullK40.json,LIGHT_EMBfinal3_noiseparams_K40,0.1067657952923597,0.8552631578947368,38,1,189.49,3.16,1,LIGHT_EMBfinal3_noiseparams_fullK40
BERTopic,NoiseParams fullK,Heavy,,40,Run3,BERTopic | NoiseParams fullK | Heavy | K40 | Run3,bertopic_topics_HEAVY_EMBfinal3_noiseparams_fullK40.json,HEAVY_EMBfinal3_noiseparams_K40,0.1153402774352838,0.8837837837837837,37,1,153.34,2.56,1,HEAVY_EMBfinal3_noiseparams_fullK40
